MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
60,RL,1.6466671712706678,2.3067802865056217,Pave,Reg,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,1.8378799982871266,3,2,PConc,4,3,-1,6,2.023007512366952,1,0.0,1.7946353028541102,2.048136347402513,GasA,4,Y,SBrkr,2.048136347402513,2.0478349582905495,0.0,2.1335548074825423,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,0.8697416861919439,0.5265890341390446,3,1.1622831138840004,7,0.0,Attchd,2003.0,2,0.7412763113750154,1.9889831088012713,3,3,2,0.0,1.63454690370149,0.0,0.0,0.0,0.0,0.0,Feb,2008,WD,Normal
20,RL,1.6853704905634923,2.319405094199375,Pave,Reg,Lvl,3,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,0.0,2,2,CBlock,4,3,3,5,2.065156449177311,1,0.0,1.8949910974525486,2.0969431317504568,GasA,4,Y,SBrkr,2.0969431317504568,0.0,0.0,2.0969431317504568,0.0,0.5265890341390446,0.7412763113750154,0.0,0.8697416861919439,0.5265890341390446,2,1.0804178182729878,7,0.5265890341390446,Attchd,1976.0,2,0.7412763113750154,1.964787704766679,3,3,2,1.9021737291891518,0.0,0.0,0.0,0.0,0.0,0.0,May,2007,WD,Normal
60,RL,1.6551961525056738,2.33487920838451,Pave,IR1,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,1.8072636887169242,3,2,PConc,4,3,1,6,1.9724497132493741,1,0.0,1.9566163513210957,2.057382525273877,GasA,4,Y,SBrkr,2.057382525273877,2.049631476134806,0.0,2.138687980727877,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,0.8697416861919439,0.5265890341390446,3,1.0804178182729878,7,0.5265890341390446,Attchd,2001.0,2,0.7412763113750154,2.00307578946493,3,3,2,0.0,1.5604997616108316,0.0,0.0,0.0,0.0,0.0,Sep,2008,WD,Normal
70,RL,1.6313704001963978,2.3188915314279197,Pave,IR1,Lvl,3,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,0.0,2,2,BrkTil,3,4,-1,5,1.8531520084405109,1,0.0,1.9869724729359572,2.0320043887913535,GasA,3,Y,SBrkr,2.062932825955494,2.0320043887913535,0.0,2.13403816125328,0.5265890341390446,0.0,0.5265890341390446,0.0,0.8697416861919439,0.5265890341390446,3,1.1247482629090362,7,0.5265890341390446,Detchd,1998.0,1,0.8697416861919439,2.0103787647456652,3,3,2,0.0,1.5224670302876946,1.8885037407137346,0.0,0.0,0.0,0.0,Feb,2006,WD,Abnorml
60,RL,1.6942663054703442,2.35757351466713,Pave,IR1,Lvl,3,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,1.9258220450052628,3,2,PConc,4,3,2,6,2.013056087870876,1,0.0,1.9735870328878404,2.084930561568215,GasA,4,Y,SBrkr,2.084930561568215,2.074472683462615,0.0,2.162835319458644,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,0.959134838920824,0.5265890341390446,3,1.1947055233182955,7,0.5265890341390446,Attchd,2000.0,2,0.8697416861919439,2.0450861030246124,3,3,2,1.8346098354356497,1.6942663054703442,0.0,0.0,0.0,0.0,0.0,Dec,2008,WD,Normal
50,RL,1.696412959743625,2.356605762266651,Pave,IR1,Lvl,3,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,0.0,2,2,Wood,4,3,-1,6,2.0277726112086545,1,0.0,1.6437209301888343,2.038730827268529,GasA,4,Y,SBrkr,2.038730827268529,1.993387792889887,0.0,2.1062591426501625,0.5265890341390446,0.0,0.5265890341390446,0.5265890341390446,0.5265890341390446,0.5265890341390446,2,1.026672031199051,7,0.0,Attchd,1993.0,1,0.7412763113750154,1.9707236282233618,3,3,2,1.5504460211620947,1.4892992254175486,0.0,1.9127139332707952,0.0,0.0,2.0218796785726947,Oct,2009,WD,Normal
20,RL,1.6734888160092363,2.3242295965616977,Pave,Reg,Lvl,3,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,1.8295542650992236,3,2,PConc,5,3,2,6,2.1068823280938007,1,0.0,1.9113263030116563,2.131880645429383,GasA,4,Y,SBrkr,2.1324416434955027,0.0,0.0,2.1324416434955027,0.5265890341390446,0.0,0.7412763113750154,0.0,0.8697416861919439,0.5265890341390446,3,1.1247482629090362,7,0.5265890341390446,Attchd,2004.0,2,0.7412763113750154,2.0091222983932866,3,3,2,1.8787285104503608,1.6214540309583532,0.0,0.0,0.0,0.0,0.0,Aug,2007,WD,Normal
60,RL,1.6914094332659813,2.327075258976749,Pave,IR1,Lvl,3,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,1.8694605040153234,2,2,CBlock,4,3,1,5,2.048586945375294,4,1.503300998004841,1.8531520084405109,2.080729695067303,GasA,4,Y,SBrkr,2.080729695067303,2.065802184230466,0.0,2.1570271214812515,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,0.8697416861919439,0.5265890341390446,2,1.1247482629090362,7,0.7412763113750154,Attchd,1973.0,2,0.7412763113750154,1.9718770561383445,3,3,2,1.8662223006181342,1.844195357303668,1.8615532204780585,0.0,0.0,0.0,1.9258220450052628,Nov,2009,WD,Normal
50,RM,1.5996388013001024,2.274132197379939,Pave,Reg,Lvl,3,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,0.0,2,2,BrkTil,3,3,-1,1,0.0,1,0.0,2.0617376107948178,2.0617376107948178,GasA,3,Y,FuseF,2.0707154253715525,2.031309721902906,0.0,2.1378938883917833,0.0,0.0,0.7412763113750154,0.0,0.7412763113750154,0.7412763113750154,2,1.1622831138840004,6,0.7412763113750154,Detchd,1931.0,1,0.7412763113750154,1.9671966564317944,2,3,2,1.7067206012930416,0.0,1.8449646614985311,0.0,0.0,0.0,0.0,Apr,2008,WD,Abnorml
190,RL,1.5957092304038698,2.2937531154456154,Pave,Reg,Lvl,3,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,0.0,2,2,BrkTil,3,3,-1,6,2.0473813789722657,1,0.0,1.783182776049518,2.066827709147945,GasA,4,Y,SBrkr,2.0772970879152086,0.0,0.0,2.0772970879152086,0.5265890341390446,0.0,0.5265890341390446,0.0,0.7412763113750154,0.7412763113750154,2,1.026672031199051,7,0.7412763113750154,Attchd,1939.0,2,0.5265890341390446,1.8449646614985311,4,3,2,0.0,0.959134838920824,0.0,0.0,0.0,0.0,0.0,Jan,2008,WD,Normal
20,RL,1.6606403793348095,2.3344478738927226,Pave,Reg,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,0.0,2,2,CBlock,3,3,-1,3,2.0554232031366197,1,0.0,1.775845981748474,2.072912406768814,GasA,4,Y,SBrkr,2.072912406768814,0.0,0.0,2.072912406768814,0.5265890341390446,0.0,0.5265890341390446,0.0,0.8697416861919439,0.5265890341390446,2,1.026672031199051,7,0.0,Detchd,1965.0,1,0.5265890341390446,1.9392082175256102,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb,2008,WD,Normal
60,RL,1.696412959743625,2.3404965182265904,Pave,IR1,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,1.8960417361485307,4,2,PConc,5,3,-1,6,2.067717429410521,1,0.0,1.8216068302034107,2.088137884695355,GasA,4,Y,SBrkr,2.088873033005882,2.0846046478524793,0.0,2.1692222939307104,0.5265890341390446,0.0,0.8697416861919439,0.0,0.959134838920824,0.5265890341390446,4,1.2484412575662103,7,0.7412763113750154,BuiltIn,2005.0,3,0.8697416861919439,2.028488701461363,3,3,2,1.791294740218941,1.4087998161504007,0.0,0.0,0.0,0.0,0.0,Jul,2006,New,Partial
20,RL,1.6529815822765834,2.3485443179609256,Pave,IR2,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,0.0,2,2,CBlock,3,3,-1,5,2.028667036987173,1,0.0,1.8197772781208725,2.0562670608453133,GasA,2,Y,SBrkr,2.0562670608453133,0.0,0.0,2.0562670608453133,0.5265890341390446,0.0,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,2,0.959134838920824,7,0.0,Detchd,1962.0,1,0.5265890341390446,1.9266498629615478,3,3,2,1.783182776049518,0.0,0.0,0.0,1.8206950566924849,0.0,0.0,Sep,2008,WD,Normal
20,RL,1.7087018253879918,2.3295771886832024,Pave,IR1,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,1.9061066457543656,3,2,PConc,4,3,2,1,0.0,1,0.0,2.117445347132059,2.117445347132059,GasA,4,Y,SBrkr,2.117445347132059,0.0,0.0,2.117445347132059,0.0,0.0,0.7412763113750154,0.0,0.8697416861919439,0.5265890341390446,3,1.1247482629090362,7,0.5265890341390446,Attchd,2006.0,2,0.8697416861919439,2.045702691419236,3,3,2,1.8052356503890232,1.5099182003836584,0.0,0.0,0.0,0.0,0.0,Aug,2007,New,Partial
20,RL,1.6914094332659813,2.331992701301288,Pave,IR1,Lvl,3,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,1.8502315274246866,2,2,CBlock,3,3,-1,4,2.0279520476009263,1,0.0,1.9817942637290324,2.096064329571698,GasA,2,Y,SBrkr,2.096064329571698,0.0,0.0,2.096064329571698,0.5265890341390446,0.0,0.5265890341390446,0.5265890341390446,0.7412763113750154,0.5265890341390446,2,1.026672031199051,7,0.5265890341390446,Attchd,1960.0,2,0.5265890341390446,1.9266498629615478,3,3,2,0.0,1.8509675611842284,1.8206950566924849,0.0,0.0,0.0,0.0,May,2008,WD,Normal
45,RM,1.5996388013001024,2.274132197379939,Pave,Reg,Lvl,3,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,2,2,BrkTil,3,3,-1,1,0.0,1,0.0,2.0444661777473803,2.0444661777473803,GasA,4,Y,FuseA,2.0478349582905495,0.0,0.0,2.0478349582905495,0.0,0.0,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,2,1.026672031199051,7,0.0,Detchd,1991.0,1,0.7412763113750154,1.9957667194465685,3,3,2,1.5875644833216505,1.74525954872198,0.0,0.0,0.0,0.0,0.0,Jul,2007,WD,Normal
20,RL,1.6206866115459948,2.334801723531336,Pave,IR1,Lvl,3,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,1.8243068483519838,2,2,CBlock,3,3,-1,5,1.9962368841455098,1,0.0,1.9539894255178158,2.0684744752134083,GasA,4,Y,SBrkr,2.0684744752134083,0.0,0.0,2.0684744752134083,0.5265890341390446,0.0,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,2,1.026672031199051,7,0.5265890341390446,Attchd,1970.0,3,0.7412763113750154,1.9707236282233618,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0218796785726947,Mar,2010,WD,Normal
90,RL,1.6659050929776016,2.330838227483237,Pave,Reg,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,0.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,2,Y,SBrkr,2.100200719217843,0.0,0.0,2.100200719217843,0.0,0.0,0.7412763113750154,0.0,0.7412763113750154,0.7412763113750154,2,1.0804178182729878,7,0.0,CarPort,1967.0,1,0.7412763113750154,1.9807314840803059,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,1.9763847732858002,Oct,2006,WD,Normal
20,RL,1.6495606454510718,2.3537399921516626,Pave,Reg,Lvl,3,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,2,2,PConc,3,3,-1,6,2.0112090454763987,1,0.0,1.9671966564317944,2.0815155998202552,GasA,4,Y,SBrkr,2.0815155998202552,0.0,0.0,2.0815155998202552,0.5265890341390446,0.0,0.5265890341390446,0.5265890341390446,0.8697416861919439,0.5265890341390446,3,1.0804178182729878,7,0.0,Detchd,2004.0,1,0.7412763113750154,1.9957667194465685,3,3,2,0.0,1.7289490519659823,0.0,0.0,0.0,0.0,0.0,Jun,2008,WD,Normal
20,RL,1.6606403793348095,2.295636883552837,Pave,Reg,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,0.0,2,2,CBlock,3,3,-1,2,1.977486115075459,1,0.0,1.9831097569663099,2.0715749411065296,GasA,2,Y,SBrkr,2.1041859691405933,0.0,0.0,2.1041859691405933,0.0,0.0,0.5265890341390446,0.0,0.8697416861919439,0.5265890341390446,2,1.0804178182729878,6,0.0,Attchd,1958.0,1,0.5265890341390446,1.9001616577562157,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,May,2009,COD,Abnorml
60,RL,1.7272161148848966,2.3572743347537797,Pave,IR1,Lvl,3,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,1.9377050613615177,3,2,PConc,5,3,2,1,0.0,1,0.0,2.0863318542781917,2.0863318542781917,GasA,4,Y,SBrkr,2.0863318542781917,2.092578143634172,0.0,2.171746581862792,0.0,0.0,0.8697416861919439,0.5265890341390446,0.959134838920824,0.5265890341390446,3,1.1947055233182955,7,0.5265890341390446,BuiltIn,2005.0,2,0.8697416861919439,2.0476839651050143,3,3,2,1.8694605040153234,1.798970923559588,0.0,0.0,0.0,0.0,0.0,Nov,2006,New,Partial
45,RM,1.6214540309583532,2.294146519308696,Pave,Reg,Bnk,3,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,2,2,PConc,3,3,-1,1,0.0,1,0.0,2.009332639181276,2.009332639181276,GasA,4,Y,FuseF,2.0808423085664507,0.0,0.0,2.0808423085664507,0.0,0.0,0.5265890341390446,0.0,0.8697416861919439,0.5265890341390446,3,1.0804178182729878,7,0.5265890341390446,Attchd,1930.0,1,0.5265890341390446,1.8928641420201489,3,3,0,0.0,0.0,1.8449646614985311,0.0,0.0,0.0,0.0,Jun,2007,WD,Normal
20,RL,1.6734888160092363,2.320847746651555,Pave,Reg,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,1.8933991317302272,3,2,PConc,4,3,-1,1,0.0,1,0.0,2.1380929728676588,2.1380929728676588,GasA,4,Y,SBrkr,2.139279648258017,0.0,0.0,2.139279648258017,0.0,0.0,0.7412763113750154,0.0,0.8697416861919439,0.5265890341390446,3,1.1247482629090362,7,0.5265890341390446,Attchd,2002.0,2,0.7412763113750154,1.9854421800760271,3,3,2,1.8160445966634724,1.804210600378433,0.0,0.0,0.0,0.0,0.0,Sep,2008,WD,Normal
120,RM,1.570002974208493,2.235245269447828,Pave,Reg,Lvl,3,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,2,2,PConc,4,3,-1,6,2.045702691419236,1,0.0,1.8410740844298052,2.072912406768814,GasA,2,Y,SBrkr,2.075303885702134,0.0,0.0,2.075303885702134,0.5265890341390446,0.0,0.5265890341390446,0.0,0.8697416861919439,0.5265890341390446,2,1.0804178182729878,7,0.5265890341390446,Attchd,1976.0,1,0.7412763113750154,1.9948208116399944,3,3,2,1.7254630513334037,1.742136743805324,0.0,0.0,0.0,0.0,0.0,Jun,2007,WD,Normal
20,RL,1.6529815822765834,2.3043440228528853,Pave,IR1,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,0.0,2,3,CBlock,3,3,1,3,1.83126011355907,5,2.015673931331266,1.844195357303668,2.075303885702134,GasA,4,Y,SBrkr,2.075303885702134,0.0,0.0,2.075303885702134,0.5265890341390446,0.0,0.5265890341390446,0.0,0.8697416861919439,0.5265890341390446,3,1.0804178182729878,7,0.5265890341390446,Attchd,1968.0,1,0.5265890341390446,1.887390630978784,3,3,2,1.947168383637879,1.7067206012930416,0.0,0.0,0.0,0.0,0.0,May,2010,WD,Normal
20,RL,1.742136743805324,2.3573741764396754,Pave,Reg,Lvl,3,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,2.0099614252030538,3,2,PConc,4,3,-1,1,0.0,1,0.0,2.1230897278382646,2.1230897278382646,GasA,4,Y,SBrkr,2.125655021547276,0.0,0.0,2.125655021547276,0.0,0.0,0.7412763113750154,0.0,0.8697416861919439,0.5265890341390446,3,1.1247482629090362,7,0.5265890341390446,Attchd,2007.0,2,0.8697416861919439,2.0531417680674826,3,3,2,0.0,1.6180113091810355,0.0,0.0,0.0,0.0,0.0,Jul,2009,WD,Normal
20,RL,1.6313704001963978,2.290712409213045,Pave,Reg,Lvl,3,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,2,2,CBlock,3,3,1,4,1.865565153838859,3,1.9724497132493741,1.8243068483519838,2.0545730247502716,GasA,2,Y,SBrkr,2.0545730247502716,0.0,0.0,2.0545730247502716,0.0,0.5265890341390446,0.5265890341390446,0.0,0.8697416861919439,0.5265890341390446,3,1.026672031199051,7,0.0,Detchd,2005.0,1,0.7412763113750154,1.9957667194465685,3,3,2,1.8574179522647456,1.503300998004841,0.0,0.0,0.0,0.0,0.0,May,2010,WD,Normal
20,RL,1.7218947624700471,2.3368197964481747,Pave,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,1.8410740844298052,3,2,PConc,5,3,-1,6,2.092578143634172,1,0.0,1.9724497132493741,2.133138740651074,GasA,4,Y,SBrkr,2.133138740651074,0.0,0.0,2.133138740651074,0.5265890341390446,0.0,0.7412763113750154,0.0,0.8697416861919439,0.5265890341390446,3,1.1247482629090362,7,0.5265890341390446,Attchd,2008.0,2,0.8697416861919439,2.0347421241127095,3,3,2,0.0,1.5957092304038698,0.0,0.0,0.0,0.0,0.0,May,2010,WD,Normal
20,RL,1.583340520839692,2.370268897228946,Pave,IR1,Lvl,3,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,0.0,2,2,CBlock,3,3,3,4,2.098392290904614,1,0.0,1.8464903775306214,2.1166373757683243,GasA,2,Y,SBrkr,2.125655021547276,0.0,0.0,2.125655021547276,0.5265890341390446,0.0,0.5265890341390446,0.0,0.7412763113750154,0.5265890341390446,2,1.0804178182729878,7,0.7412763113750154,Attchd,1957.0,2,0.5265890341390446,1.912253049635755,3,3,2,1.8970839874548464,1.880506958839086,0.0,0.0,0.0,0.0,0.0,Dec,2006,WD,Normal
30,RM,1.6313704001963978,2.277499597879003,Pave,IR1,Lvl,3,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,0.0,2,2,BrkTil,3,3,-1,1,0.0,1,0.0,1.9817942637290324,1.9817942637290324,GasA,1,N,SBrkr,1.9817942637290324,0.0,0.0,1.9817942637290324,0.0,0.0,0.5265890341390446,0.0,0.5265890341390446,0.5265890341390446,1,0.959134838920824,7,0.0,Detchd,1920.0,1,0.5265890341390446,1.8694605040153234,2,3,2,1.5916858743493758,0.0,1.700619000072578,0.0,0.0,0.0,0.0,May,2008,WD,Normal
